scientific_name,park_name,observations
Cryptantha glomeriflora,Yellowstone National Park,257
Vermivora ruficapilla,Yellowstone National Park,229
Sedum obtusatum ssp. obtusatum,Yellowstone National Park,268
Delphinium gracilentum,Yellowstone National Park,265
Ranunculus repens,Yellowstone National Park,254
Glaucidium gnoma,Yellowstone National Park,245
Poa chapmaniana,Yellowstone National Park,234
Icteria virens,Yellowstone National Park,193
Carduus acanthoides,Yellowstone National Park,232
Cladrastis kentukea,Yellowstone National Park,250
Najas flexilis,Yellowstone National Park,195
Cyrto-hypnum minutulum,Yellowstone National Park,241
Arabis lyallii var. nubigena,Yellowstone National Park,254
Dendroica coronata,Yellowstone National Park,253
Polygonum arenastrum,Yellowstone National Park,264
Phlox pulvinata,Yellowstone National Park,248
Gavia immer,Yellowstone National Park,218
Trautvetteria caroliniensis,Yellowstone National Park,248
Ulota coarctata,Yellowstone National Park,270
Ligustrum sinense,Yellowstone National Park,243
Penstemon radicosus,Yellowstone National Park,265
Oceanodroma castro,Yellowstone National Park,253
Schedonnardus paniculatus,Yellowstone National Park,265
Cryptogramma stelleri,Yellowstone National Park,207
Gentiana newberryi var. tiogana,Yellowstone National Park,258
Selaginella densa var. densa,Yellowstone National Park,288
Graptemys ouachitensis,Yellowstone National Park,262
Climacium kindbergii,Yellowstone National Park,287
Potamogeton filiformis,Yellowstone National Park,237
Carex torta,Yellowstone National Park,258
Bromus grandis,Yellowstone National Park,223
Pandion haliaetus,Yellowstone National Park,243
Rorippa palustris ssp. palustris,Yellowstone National Park,240
Polygonum achoreum,Yellowstone National Park,255
Cardamine diphylla,Yellowstone National Park,216
Lithophragma glabrum,Yellowstone National Park,262
Alnus incana ssp. tenuifolia,Yellowstone National Park,231
Tradescantia subaspera var. montana,Yellowstone National Park,244
Accipiter cooperii,Yellowstone National Park,245
Draba albertina,Yellowstone National Park,239
Dryopteris goldiana,Yellowstone National Park,248
Sciurus griseus,Yellowstone National Park,647
Castilleja pilosa var. longispica,Yellowstone National Park,268
Carex caroliniana,Yellowstone National Park,293
Viburnum edule,Yellowstone National Park,221
Falco peregrinus anatum,Yellowstone National Park,176
Cerastium fontanum ssp. vulgare,Yellowstone National Park,269
Sporobolus cryptandrus,Yellowstone National Park,223
Stercorarius parasiticus,Yellowstone National Park,235
Oryzomys palustris palustris,Yellowstone National Park,242
Procyon lotor,Yellowstone National Park,392
Ptychomitrium incurvum,Yellowstone National Park,245
Blephilia hirsuta,Yellowstone National Park,255
Prenanthes trifoliolata,Yellowstone National Park,262
Carex densa,Yellowstone National Park,268
Paronychia argyrocoma,Yellowstone National Park,282
Schlotheimia rugifolia,Yellowstone National Park,250
Cleistes bifaria,Yellowstone National Park,250
Brassica napus,Yellowstone National Park,270
Empidonax occidentalis,Yellowstone National Park,237
Ericameria arborescens,Yellowstone National Park,266
Polygonum coccineum,Yellowstone National Park,229
Eleocharis quinqueflora,Yellowstone National Park,243
Cryptobranchus alleganiensis alleganiensis,Yellowstone National Park,224
Salix orestera,Yellowstone National Park,250
Oenothera linifolia,Yellowstone National Park,224
Arenaria congesta var. suffrutescens,Yellowstone National Park,264
Catharus fuscescens,Yellowstone National Park,200
Silene latifolia ssp. alba,Yellowstone National Park,258
Viola arvensis,Yellowstone National Park,275
Mimulus cardinalis,Yellowstone National Park,226
Myiarchus crinitus,Yellowstone National Park,298
Astragalus kentrophyta var. danaus,Yellowstone National Park,231
Danthonia intermedia,Yellowstone National Park,240
Allophyllum divaricatum,Yellowstone National Park,205
Dichanthelium sphaerocarpon,Yellowstone National Park,234
Packera cana,Yellowstone National Park,252
Ostrya virginiana,Yellowstone National Park,244
Selasphorus calliope,Yellowstone National Park,238
Lepidium virginicum var. virginicum,Yellowstone National Park,250
Elymus canadensis var. canadensis,Yellowstone National Park,243
Polemonium occidentale,Yellowstone National Park,255
Galactia regularis,Yellowstone National Park,221
Pycnanthemum pycnanthemoides,Yellowstone National Park,253
Callitriche hermaphroditica,Yellowstone National Park,213
Asplenium resiliens,Yellowstone National Park,249
Calidris mauri,Yellowstone National Park,233
Osmorhiza depauperata,Yellowstone National Park,236
Achnatherum thurberianum,Yellowstone National Park,251
Cyperus echinatus,Yellowstone National Park,216
Ericameria nauseosa var. nauseosa,Yellowstone National Park,235
Milium effusum,Yellowstone National Park,265
Campostoma anomalum,Yellowstone National Park,256
Anastrophyllum minutum,Yellowstone National Park,211
Vitis labrusca,Yellowstone National Park,231
Erigeron ochroleucus var. scribneri,Yellowstone National Park,251
Cirsium discolor,Yellowstone National Park,237
Calochortus invenustus,Yellowstone National Park,222
Bonasa umbellus,Yellowstone National Park,259
Pieris floribunda,Yellowstone National Park,271
Catharus guttatus,Yellowstone National Park,267
Hemidactylium scutatum,Yellowstone National Park,248
Dryocopus pileatus,Yellowstone National Park,237
Crepis tectorum,Yellowstone National Park,249
Andropogon virginicus var. virginicus,Yellowstone National Park,231
Kummerowia striata,Yellowstone National Park,269
Androsace filiformis,Yellowstone National Park,265
Hepatica nobilis var. obtusa,Yellowstone National Park,208
Dichanthelium sphaerocarpon var. sphaerocarpon,Yellowstone National Park,236
Helianthus hirsutus,Yellowstone National Park,241
Sorex longirostris,Yellowstone National Park,488
Pycnanthemum loomisii,Yellowstone National Park,242
Arabis holboellii var. retrofracta,Yellowstone National Park,229
Cornus sericea ssp. occidentalis,Yellowstone National Park,241
Isoetes howellii,Yellowstone National Park,236
Larus pipixcan,Yellowstone National Park,243
Sedum lanceolatum,Yellowstone National Park,256
Lemna trisulca,Yellowstone National Park,274
Hedeoma pulegioides,Yellowstone National Park,237
Buglossoides arvensis,Yellowstone National Park,278
Chrysosplenium americanum,Yellowstone National Park,249
Smilax pulverulenta,Yellowstone National Park,242
Phacelia racemosa,Yellowstone National Park,251
Euonymus alatus,Yellowstone National Park,239
Carex geyeri,Yellowstone National Park,281
Ruellia caroliniensis ssp. ciliosa var. cinerascens,Yellowstone National Park,218
Draba verna,Yellowstone National Park,253
Balsamorhiza sagittata,Yellowstone National Park,271
Larus atricilla,Yellowstone National Park,233
Paronychia fastigiata,Yellowstone National Park,252
Potentilla drummondii ssp. bruceae,Yellowstone National Park,236
Bubulcus ibis,Yellowstone National Park,256
Bupleurum rotundifolium,Yellowstone National Park,272
Peromyscus maniculatus,Yellowstone National Park,388
Festuca subverticillata,Yellowstone National Park,230
Carpodacus mexicanus,Yellowstone National Park,240
Oreothlypis celata,Yellowstone National Park,259
Ipomoea pandurata,Yellowstone National Park,252
Helianthus,Yellowstone National Park,256
Alisma triviale,Yellowstone National Park,273
Robinia pseudoacacia,Yellowstone National Park,216
Sonchus asper,Yellowstone National Park,281
Agrostis capillaris,Yellowstone National Park,241
Hypericum anagalloides,Yellowstone National Park,233
Eleusine indica,Yellowstone National Park,253
Calochortus venustus,Yellowstone National Park,248
Castor canadensis,Yellowstone National Park,183
Prunus americana,Yellowstone National Park,282
Aralia spinosa,Yellowstone National Park,277
Mimus polyglottos,Yellowstone National Park,260
Solanum lycopersicum var. lycopersicum,Yellowstone National Park,251
Epipactis helleborine,Yellowstone National Park,269
Rhododendron,Yellowstone National Park,266
Purshia tridentata,Yellowstone National Park,221
Penstemon aridus,Yellowstone National Park,249
Symphyotrichum foliaceum var. canbyi,Yellowstone National Park,246
Pseudognaphalium obtusifolium ssp. obtusifolium,Yellowstone National Park,263
Clinopodium vulgare,Yellowstone National Park,255
Carex festucacea,Yellowstone National Park,252
Mimulus filicaulis,Yellowstone National Park,197
Carya glabra,Yellowstone National Park,275
Canis latrans,Yellowstone National Park,283
Ovis canadensis,Yellowstone National Park,291
Batrachoseps gregarius,Yellowstone National Park,248
Bubo virginianus,Yellowstone National Park,294
Hieracium gracile,Yellowstone National Park,246
Antennaria solitaria,Yellowstone National Park,228
Desmodium canescens,Yellowstone National Park,236
Potamogeton amplifolius,Yellowstone National Park,238
Scirpus atrovirens,Yellowstone National Park,246
Parnassia palustris var. montanensis,Yellowstone National Park,215
Trifolium obtusiflorum,Yellowstone National Park,251
Linaria vulgaris,Yellowstone National Park,233
Chamaebatia foliolosa,Yellowstone National Park,277
Athyrium filix-femina,Yellowstone National Park,231
Cynoglossum virginianum,Yellowstone National Park,236
Etheostoma simoterum,Yellowstone National Park,217
Corallorhiza odontorhiza,Yellowstone National Park,251
Barbarea vulgaris,Yellowstone National Park,258
Larus argentatis,Yellowstone National Park,275
Andreaea rothii,Yellowstone National Park,276
Rubus leucodermis,Yellowstone National Park,247
Dendroica dominica,Yellowstone National Park,275
Prenanthes serpentaria,Yellowstone National Park,221
Clinostomus funduloides,Yellowstone National Park,265
Potentilla gracilis,Yellowstone National Park,265
Chasmistes liorus,Yellowstone National Park,65
Quercus alba,Yellowstone National Park,244
Polygala ambigua,Yellowstone National Park,241
Linanthus filipes,Yellowstone National Park,264
Cyperus pseudovegetus,Yellowstone National Park,243
Lupinus nanus,Yellowstone National Park,215
Viola sheltonii,Yellowstone National Park,253
Bison bison,Yellowstone National Park,270
Juncus interior,Yellowstone National Park,247
Empidonax wrightii,Yellowstone National Park,229
Carpinus caroliniana,Yellowstone National Park,224
Collinsia torreyi var. torreyi,Yellowstone National Park,272
Loxia leucoptera,Yellowstone National Park,245
Sphaeralcea coccinea,Yellowstone National Park,281
Lepus townsendii townsendii,Yellowstone National Park,461
Megaceryle alcyon,Yellowstone National Park,260
Aegolius funereus,Yellowstone National Park,260
Polystichum scopulinum,Yellowstone National Park,244
Betula glandulosa,Yellowstone National Park,238
Heterophyllium affine,Yellowstone National Park,239
Carex filifolia,Yellowstone National Park,258
Myosotis stricta,Yellowstone National Park,244
Erigeron coulteri,Yellowstone National Park,238
Carex leptalea,Yellowstone National Park,265
Podiceps nigricollis,Yellowstone National Park,242
Madia exigua,Yellowstone National Park,226
Buteo lagopus,Yellowstone National Park,242
Eurybia divaricata,Yellowstone National Park,227
Asimina triloba,Yellowstone National Park,231
Lloydia serotina,Yellowstone National Park,277
Minuartia stricta,Yellowstone National Park,232
Aplodontia rufa californica,Yellowstone National Park,399
Ceanothus americanus,Yellowstone National Park,262
Camissonia sierrae ssp. sierrae,Yellowstone National Park,250
Eleocharis acicularis,Yellowstone National Park,225
Pellaea bridgesii,Yellowstone National Park,246
Cheilanthes covillei,Yellowstone National Park,249
Populus balsamifera ssp. trichocarpa,Yellowstone National Park,275
Philomachus pugnax,Yellowstone National Park,244
Amsinckia menziesii,Yellowstone National Park,221
Bassariscus astutus,Yellowstone National Park,366
Epilobium canum ssp. latifolium,Yellowstone National Park,247
Ammodramus savannarum,Yellowstone National Park,241
Rhinichthys osculus,Yellowstone National Park,210
Amphispiza bilineata,Yellowstone National Park,239
Anemone virginiana,Yellowstone National Park,221
Antilocapra americana,Yellowstone National Park,436
Thaspium barbinode,Yellowstone National Park,221
Lasionycteris noctivagans,Yellowstone National Park,367
Elymus glaucus,Yellowstone National Park,246
Ovis canadensis sierrae,Yellowstone National Park,157
Mnium thomsonii,Yellowstone National Park,237
Anomodon rugelii,Yellowstone National Park,276
Chamaecrista nictitans ssp. nictitans var. nictitans,Yellowstone National Park,234
Samolus valerandi ssp. parviflorus,Yellowstone National Park,256
Gaura parviflora,Yellowstone National Park,243
Erechtites hieraciifolia var. hieraciifolia,Yellowstone National Park,278
Subularia aquatica var. americana,Yellowstone National Park,259
Baptisia tinctoria,Yellowstone National Park,214
Xyris torta,Yellowstone National Park,224
Noccaea montana,Yellowstone National Park,237
Blepharostoma trichophyllum,Yellowstone National Park,252
Sorghum bicolor,Yellowstone National Park,284
Bromus japonicus,Yellowstone National Park,232
Arabis inyoensis,Yellowstone National Park,236
Verbesina alternifolia,Yellowstone National Park,251
Leptodictyum riparium,Yellowstone National Park,224
Sericocarpus asteroides,Yellowstone National Park,213
Thelypteris palustris var. pubescens,Yellowstone National Park,247
Lycopodium annotinum,Yellowstone National Park,255
Athysanus pusillus,Yellowstone National Park,257
Rubus occidentalis,Yellowstone National Park,255
Quercus marilandica,Yellowstone National Park,248
Mitella stauropetala,Yellowstone National Park,231
Sphagnum magellanicum,Yellowstone National Park,245
Bromus tectorum,Yellowstone National Park,249
Rhododendron canescens,Yellowstone National Park,241
Pedicularis contorta var. contorta,Yellowstone National Park,247
Rhus trilobata,Yellowstone National Park,243
Viola tripartita,Yellowstone National Park,236
Hieracium argutum,Yellowstone National Park,239
Troglodytes aedon,Yellowstone National Park,263
Gentiana saponaria,Yellowstone National Park,228
Lophocolea muricata,Yellowstone National Park,293
Carex macloviana,Yellowstone National Park,260
Hieracium X marianum,Yellowstone National Park,234
Panicum philadelphicum,Yellowstone National Park,256
Amelanchier arborea,Yellowstone National Park,240
Ichthyomyzon castaneus,Yellowstone National Park,281
Zizia aptera,Yellowstone National Park,257
Eriogonum nudum var. scapigerum,Yellowstone National Park,255
Kalmia polifolia ssp. polifolia,Yellowstone National Park,265
Pseudotriton montanus diastictus,Yellowstone National Park,268
Carpodacus purpureus,Yellowstone National Park,252
Montia chamissoi,Yellowstone National Park,226
Descurainia incana,Yellowstone National Park,255
Eragrostis spectabilis,Yellowstone National Park,216
Juncus mertensianus,Yellowstone National Park,231
Aphanes microcarpa,Yellowstone National Park,228
Geococcyx californianus,Yellowstone National Park,232
Triticum aestivum,Yellowstone National Park,227
Juncus oxymeris,Yellowstone National Park,231
Myotis austroriparius,Yellowstone National Park,360
Lupinus albifrons var. albifrons,Yellowstone National Park,261
Triteleia grandiflora var. grandiflora,Yellowstone National Park,248
Thryomanes bewickii altus,Yellowstone National Park,206
Saxifraga californica,Yellowstone National Park,263
Lupinus albicaulis,Yellowstone National Park,246
Woodsia scopulina,Yellowstone National Park,245
Bidens tripartita,Yellowstone National Park,314
Mitella diphylla,Yellowstone National Park,249
Achnatherum hymenoides,Yellowstone National Park,233
Hedera helix,Yellowstone National Park,264
Wyethia angustifolia,Yellowstone National Park,251
Mimulus tilingii,Yellowstone National Park,250
Luzula spicata,Yellowstone National Park,274
Perilla frutescens,Yellowstone National Park,258
Epilobium hornemannii ssp. hornemannii,Yellowstone National Park,254
Geranium carolinianum,Yellowstone National Park,256
Salix exigua,Yellowstone National Park,243
Solidago hispida,Yellowstone National Park,232
Ambrosia artemisiifolia,Yellowstone National Park,243
Didelphis virginiana,Yellowstone National Park,235
Fothergilla major,Yellowstone National Park,229
Carduus acanthoides,Yellowstone National Park,224
Dichanthelium latifolium,Yellowstone National Park,242
Cardamine californica var. californica,Yellowstone National Park,247
Rubus odoratus,Yellowstone National Park,240
Paspalum floridanum,Yellowstone National Park,242
Zigadenus paniculatus,Yellowstone National Park,267
Falco mexicanus,Yellowstone National Park,200
Ratibida columnifera,Yellowstone National Park,251
Rubus idaeus ssp. strigosus,Yellowstone National Park,245
Philonotis fontana,Yellowstone National Park,250
Viola pubescens var. scabriuscula,Yellowstone National Park,237
Lilium superbum,Yellowstone National Park,237
Ammodramus henslowii,Yellowstone National Park,236
Gambusia affinis,Yellowstone National Park,239
Crepis elegans,Yellowstone National Park,259
Asclepias exaltata,Yellowstone National Park,283
Ceryle torquata,Yellowstone National Park,223
Aythya americana,Yellowstone National Park,304
Martes americana,Yellowstone National Park,347
Juncus nodosus,Yellowstone National Park,244
Panicum flexile,Yellowstone National Park,223
Euphagus cyanocephalus,Yellowstone National Park,241
Campylostelium saxicola,Yellowstone National Park,240
Chamaesyce glyptosperma,Yellowstone National Park,242
Calochortus eurycarpus,Yellowstone National Park,238
Procyon lotor,Yellowstone National Park,343
Pylaisiadelpha tenuirostris,Yellowstone National Park,280
Thamnophis sirtalis fitchi,Yellowstone National Park,299
Scrophularia desertorum,Yellowstone National Park,249
Muhlenbergia mexicana,Yellowstone National Park,272
Polypodium glycyrrhiza,Yellowstone National Park,268
Rudbeckia hirta var. hirta,Yellowstone National Park,233
Sagittaria latifolia,Yellowstone National Park,251
Panax trifolius,Yellowstone National Park,277
Geranium robertianum,Yellowstone National Park,232
Neotamias minimus,Yellowstone National Park,604
Polystichum lonchitis,Yellowstone National Park,214
Botrychium biternatum,Yellowstone National Park,212
Polygala polygama,Yellowstone National Park,255
Broussonetia papyrifera,Yellowstone National Park,233
Sambucus racemosa,Yellowstone National Park,244
Pteridium aquilinum,Yellowstone National Park,250
Ceanothus cuneatus var. cuneatus,Yellowstone National Park,234
Artemisia frigida,Yellowstone National Park,246
Geum rivale,Yellowstone National Park,191
Myotis septentrionalis,Yellowstone National Park,270
Phlox condensata,Yellowstone National Park,225
Cirsium scariosum,Yellowstone National Park,270
Phacelia hastata var. hastata,Yellowstone National Park,298
Diphylleia cymosa,Yellowstone National Park,257
Plethodon ventralis,Yellowstone National Park,244
Ruppia cirrhosa,Yellowstone National Park,242
Hydrangea paniculata,Yellowstone National Park,187
Rhabdoweisia crispata,Yellowstone National Park,231
Polygonum erectum,Yellowstone National Park,207
Ribes roezlii var. roezlii,Yellowstone National Park,257
Coreopsis tripteris,Yellowstone National Park,244
Symphoricarpos mollis,Yellowstone National Park,262
Impatiens pallida,Yellowstone National Park,257
Holocarpha virgata ssp. virgata,Yellowstone National Park,266
Androsace occidentalis,Yellowstone National Park,248
Kyllinga gracillima,Yellowstone National Park,282
Hydrophyllum canadense,Yellowstone National Park,266
Atrichum angustatum,Yellowstone National Park,235
Draba verna,Yellowstone National Park,232
Tadarida brasiliensis,Yellowstone National Park,251
Potentilla anserina,Yellowstone National Park,250
Bryum pseudotriquetrum,Yellowstone National Park,279
Bos bison,Yellowstone National Park,269
Polygonum lapathifolium,Yellowstone National Park,259
Houstonia serpyllifolia,Yellowstone National Park,241
Lomatium nevadense var. parishii,Yellowstone National Park,217
Carex biltmoreana,Yellowstone National Park,251
Potamogeton nodosus,Yellowstone National Park,200
Carassius auratus,Yellowstone National Park,253
Lotus oblongifolius var. oblongifolius,Yellowstone National Park,260
Artemisia arbuscula ssp. arbuscula,Yellowstone National Park,238
Minuartia rubella,Yellowstone National Park,248
Vermivora pinus,Yellowstone National Park,237
Phenacobius uranops,Yellowstone National Park,250
Platanthera ciliaris,Yellowstone National Park,279
Oxalis dillenii,Yellowstone National Park,266
Monardella glauca,Yellowstone National Park,262
Tsuga mertensiana,Yellowstone National Park,256
Quercus bicolor,Yellowstone National Park,231
Amelanchier sanguinea,Yellowstone National Park,242
Krigia caespitosa,Yellowstone National Park,244
Digitaria sanguinalis,Yellowstone National Park,228
Galium latifolium,Yellowstone National Park,245
Astragalus bolanderi,Yellowstone National Park,266
Asclepias tuberosa,Yellowstone National Park,205
Betula nigra,Yellowstone National Park,281
Helianthus tuberosus,Yellowstone National Park,223
Digitaria ischaemum,Yellowstone National Park,246
Sterna forsteri,Yellowstone National Park,263
Bromus laevipes,Yellowstone National Park,223
Procyon lotor,Yellowstone National Park,388
Juncus longii,Yellowstone National Park,232
Heuchera parvifolia,Yellowstone National Park,232
Viola purpurea ssp. quercetorum,Yellowstone National Park,271
Erythronium purpurascens,Yellowstone National Park,277
Ardea albus,Yellowstone National Park,250
Draba paysonii var. paysonii,Yellowstone National Park,219
Myotis volans,Yellowstone National Park,360
Anemone quinquefolia,Yellowstone National Park,237
Calidris alba,Yellowstone National Park,244
Fulica americana,Yellowstone National Park,255
Streptopus amplexifolius var. amplexifolius,Yellowstone National Park,215
Anas platyrhynchos,Yellowstone National Park,253
Mustela,Yellowstone National Park,234
Chrysemys picta picta,Yellowstone National Park,232
Silene menziesii,Yellowstone National Park,264
Festuca minutiflora,Yellowstone National Park,286
Lilium philadelphicum,Yellowstone National Park,253
Ammannia coccinea,Yellowstone National Park,286
Buteo platypterus,Yellowstone National Park,269
Grindelia squarrosa,Yellowstone National Park,246
Asplenium ruta-muraria,Yellowstone National Park,264
Arisaema dracontium,Yellowstone National Park,200
Egretta caerulea,Yellowstone National Park,260
Heuchera longiflora,Yellowstone National Park,208
Allium schoenoprasum,Yellowstone National Park,248
Andreaea rupestris,Yellowstone National Park,243
Bromus hordeaceus,Yellowstone National Park,238
Hesperis matronalis,Yellowstone National Park,293
Carduelis tristis,Yellowstone National Park,222
Pycnanthemum montanum,Yellowstone National Park,247
Silene californica,Yellowstone National Park,229
Nicotiana attenuata,Yellowstone National Park,252
Clematis ligusticifolia,Yellowstone National Park,250
Lepomis microlophus,Yellowstone National Park,255
Lomatium torreyi,Yellowstone National Park,265
Sorghastrum elliottii,Yellowstone National Park,253
Megascops kennicottii,Yellowstone National Park,251
Sabatia angularis,Yellowstone National Park,268
Oncophorus wahlenbergii,Yellowstone National Park,234
Calypte anna,Yellowstone National Park,221
Triglochin palustre,Yellowstone National Park,262
Stenotus acaulis,Yellowstone National Park,223
Ceanothus diversifolius,Yellowstone National Park,258
Leucodon brachypus var. andrewsianus,Yellowstone National Park,233
Senecio werneriifolius,Yellowstone National Park,268
Rhexia virginica,Yellowstone National Park,248
Quercus X saulii,Yellowstone National Park,260
Cistothorus platensis,Yellowstone National Park,266
Abies bifolia,Yellowstone National Park,215
Rana draytonii,Yellowstone National Park,141
Strix occidentalis,Yellowstone National Park,252
Madia minima,Yellowstone National Park,243
Setaria pumila,Yellowstone National Park,230
Mitchella repens,Yellowstone National Park,246
Hypericum drummondii,Yellowstone National Park,269
Chlorogalum pomeridianum var. pomeridianum,Yellowstone National Park,266
Lasiurus borealis,Yellowstone National Park,459
Hexastylis shuttleworthii,Yellowstone National Park,249
Otus asio,Yellowstone National Park,233
Setophaga coronata,Yellowstone National Park,298
Triosteum angustifolium,Yellowstone National Park,282
Syringa vulgaris,Yellowstone National Park,236
Pseudotaxiphyllum elegans,Yellowstone National Park,248
Balsamorhiza deltoidea,Yellowstone National Park,270
Agrostis scabra,Yellowstone National Park,253
Myotis yumanensis,Yellowstone National Park,308
Anemone lancifolia,Yellowstone National Park,273
Eriogonum flavum var. piperi,Yellowstone National Park,292
Cordylanthus rigidus ssp. rigidus,Yellowstone National Park,245
Mustela vison,Yellowstone National Park,222
Desmanthus illinoensis,Yellowstone National Park,291
Etheostoma sanguifluum,Yellowstone National Park,300
Typha angustifolia,Yellowstone National Park,241
Alectoris chukar,Yellowstone National Park,281
Hordeum jubatum,Yellowstone National Park,234
Viola bakeri,Yellowstone National Park,262
Pyrola asarifolia,Yellowstone National Park,239
Accipiter gentilis,Yellowstone National Park,232
Vulpia octoflora var. octoflora,Yellowstone National Park,249
Castilleja crista-galli,Yellowstone National Park,266
Zigadenus elegans,Yellowstone National Park,245
Silene antirrhina,Yellowstone National Park,280
Carex hassei,Yellowstone National Park,248
Iris virginica var. shrevei,Yellowstone National Park,222
Sphyrapicus thyroideus,Yellowstone National Park,235
Schistidium agassizii,Yellowstone National Park,269
Phyllodoce breweri,Yellowstone National Park,281
Tamias alpinus,Yellowstone National Park,581
Hydrophyllum occidentale,Yellowstone National Park,236
Salix prolixa,Yellowstone National Park,204
Lithospermum arvense,Yellowstone National Park,244
Elytrigia repens var. repens,Yellowstone National Park,243
Conimitella williamsii,Yellowstone National Park,284
Strix varia,Yellowstone National Park,235
Agrostis stolonifera,Yellowstone National Park,262
Amaranthus hybridus,Yellowstone National Park,221
Chasmanthium laxum,Yellowstone National Park,273
Cirsium carolinianum,Yellowstone National Park,233
Cuscuta compacta,Yellowstone National Park,231
Obolaria virginica,Yellowstone National Park,229
Picoides dorsalis,Yellowstone National Park,228
Piperia transversa,Yellowstone National Park,242
Sorex cinereus,Yellowstone National Park,293
Scutellaria lateriflora,Yellowstone National Park,241
Draba crassa,Yellowstone National Park,248
Galearis spectabilis,Yellowstone National Park,246
Cerastium arvense,Yellowstone National Park,259
Cryptantha humilis,Yellowstone National Park,250
Setophaga fusca,Yellowstone National Park,258
Microtus pennsylvanicus,Yellowstone National Park,195
Pinus taeda,Yellowstone National Park,280
Gayophytum diffusum ssp. parviflorum,Yellowstone National Park,228
Sarcodes sanguinea,Yellowstone National Park,277
Verbena lasiostachys var. lasiostachys,Yellowstone National Park,217
Stephanomeria virgata ssp. pleurocarpa,Yellowstone National Park,232
Bidens cernua,Yellowstone National Park,247
Myotis grisescens,Yellowstone National Park,179
Juglans mandshurica,Yellowstone National Park,265
Sisyrinchium bellum,Yellowstone National Park,230
Mentha arvensis,Yellowstone National Park,226
Cryptogramma cascadensis,Yellowstone National Park,244
Xerophyllum tenax,Yellowstone National Park,244
Matelea gonocarpos,Yellowstone National Park,237
Corynorhinus townsendii,Yellowstone National Park,426
Thlaspi arvense,Yellowstone National Park,268
Lotus strigosus,Yellowstone National Park,256
Erysimum capitatum,Yellowstone National Park,251
Arctostaphylos nevadensis,Yellowstone National Park,244
Heuchera micrantha,Yellowstone National Park,225
Mimulus layneae,Yellowstone National Park,224
Chen caerulescens,Yellowstone National Park,248
Sedum acre,Yellowstone National Park,256
Turdus migratorius,Yellowstone National Park,250
Vermivora lawrencei,Yellowstone National Park,237
Uropappus lindleyi,Yellowstone National Park,246
Bromus commutatus,Yellowstone National Park,242
Tyrannus verticalis,Yellowstone National Park,294
Poa compressa,Yellowstone National Park,266
Helianthella californica var. nevadensis,Yellowstone National Park,264
Lathyrus venosus var. intonsus,Yellowstone National Park,243
Potentilla rubricaulis,Yellowstone National Park,253
Astragalus vexilliflexus var. vexilliflexus,Yellowstone National Park,218
Helianthus annuus,Yellowstone National Park,235
Schoenocrambe linifolia,Yellowstone National Park,242
Erodium cicutarium,Yellowstone National Park,212
Viburnum opulus,Yellowstone National Park,256
Athyrium filix-femina var. cyclosorum,Yellowstone National Park,263
Viola pubescens var. pubescens,Yellowstone National Park,243
Acalypha rhomboidea,Yellowstone National Park,245
Mimulus bolanderi,Yellowstone National Park,230
Calidris himantopus,Yellowstone National Park,238
Nuphar lutea ssp. advena,Yellowstone National Park,254
Allium validum,Yellowstone National Park,227
Oncorhynchus mykiss,Yellowstone National Park,253
Arabis holboellii var. pinetorum,Yellowstone National Park,271
Salix eriocephala,Yellowstone National Park,220
Platanthera lacera,Yellowstone National Park,256
Piranga rubra,Yellowstone National Park,233
Streptopelia decaocto,Yellowstone National Park,255
Erigeron pulchellus,Yellowstone National Park,276
Rhododendron periclymenoides,Yellowstone National Park,251
Lamium amplexicaule,Yellowstone National Park,276
Platanthera flava var. flava,Yellowstone National Park,235
Carex debilis var. rudgei,Yellowstone National Park,257
Haemorhous cassinii,Yellowstone National Park,251
Allium tricoccum,Yellowstone National Park,300
Dichelostemma capitatum ssp. capitatum,Yellowstone National Park,252
Camissonia subacaulis,Yellowstone National Park,269
Eriogonum spergulinum var. spergulinum,Yellowstone National Park,232
Helianthemum bicknellii,Yellowstone National Park,237
Hypentelium nigricans,Yellowstone National Park,250
Elephantopus carolinianus,Yellowstone National Park,222
Lithospermum ruderale,Yellowstone National Park,231
Pastinaca sativa,Yellowstone National Park,253
Arabis lyallii var. lyallii,Yellowstone National Park,263
Fritillaria pinetorum,Yellowstone National Park,260
Virginia valeriae valeriae,Yellowstone National Park,256
Melanerpes formicivorus,Yellowstone National Park,246
Vermivora peregrina,Yellowstone National Park,246
Carex lenticularis var. impressa,Yellowstone National Park,239
Setophaga striata,Yellowstone National Park,244
Dicentra canadensis,Yellowstone National Park,243
Leucanthemum vulgare,Yellowstone National Park,262
Dicranella heteromalla,Yellowstone National Park,229
Agrostis humilis,Yellowstone National Park,250
Vaccinium stamineum,Yellowstone National Park,294
Hydrocotyle americana,Yellowstone National Park,246
Cyperus croceus,Yellowstone National Park,268
Juglans cinerea,Yellowstone National Park,205
Vermivora lawrencii,Yellowstone National Park,226
Antennaria parvifolia,Yellowstone National Park,249
Cardamine hirsuta,Yellowstone National Park,237
Ribes lacustre,Yellowstone National Park,229
Thlaspi perfoliatum,Yellowstone National Park,263
Allophyllum integrifolium,Yellowstone National Park,266
Ribes rotundifolium,Yellowstone National Park,237
Eragrostis mexicana ssp. virescens,Yellowstone National Park,268
Ursus arctos,Yellowstone National Park,635
Rudbeckia hirta,Yellowstone National Park,239
